,Address,Latitude,Longitude
87,1 RUE GALILEE - 75016 PARIS,48.86741186571367,2.290781380114821
88,2 BIS BOULEVARD ANDRE MAUROIS - 75016 PARIS,48.877930817161044,2.278959824969939
89,27 BOULEVARD EXELMANS - 75016 PARIS,48.8409629526469,2.264394118075111
90,164 AVENUE DE VERSAILLES - 75016 PARIS,48.84021933807409,2.263834191152959
91,ALLEE DES FORTIFICATIONS - 75016 PARIS,48.84889282099704,2.2576515614748884
92,PLACE DE L'EGLISE D'AUTEUIL - 75016 PARIS,48.847498417716906,2.2684838713529905
93,1 RUE DE BASSANO - 75016 PARIS,48.86814451048208,2.296149600985935
94,40 RUE DES SABLONS - 75016 PARIS,48.86387513126816,2.281890736577358
95,PLACE DE LA PORTE MOLITOR - 75016 PARIS,48.84524431387353,2.256939537401627
96,29 RUE PIERRE DEMOURS - 75017 PARIS,48.881411101219356,2.29482820074442
97,4 RUE DE THANN - 75017 PARIS,48.881161983577115,2.30951238050775
98,172 RUE DE COURCELLES - 75017 PARIS,48.883769733273496,2.2985846634312903
99,2 RUE PAUL BODIN - 75017 PARIS,48.892633921432434,2.3173132581107394
100,46 RUE DE PARIS - 93260 LES LILAS,48.87859034882813,2.411899977886774
101,FACE 2 RUE DU LANDY - 93300 AUBERVILLIERS,48.91515618281323,2.376424009514086
102,ANGLE RUE BORDIER ET BOULEVARD FELIX FAURE  - 93300 AUBERVILLIERS,48.90396402455853,2.383125490914395
103,FACE AU 12 RUE CANDALE - 93500 PANTIN,48.88948584019568,2.4143075151112883
104,1-3 RUE DU PRE SAINT GERVAIS - 93500 PANTIN,48.891078976274606,2.402775519686335
105,130 RUE JEAN JAURES - 93500 PANTIN,48.90722601266414,2.396129200445667
106,AVENUE DE LA GARE - 93500 PANTIN,48.897328936828934,2.4005765938541366
107,26 QUAI MARCEL BOYER - 94200 IVRY,48.82211534378805,2.392850382414293
108,1 PLACE DE LEON GAMBETTA - 94200 IVRY,48.8147064321348,2.4023824343427598
109,1 RUE JULES VANZUPPE - 94200 IVRY,48.82032218367611,2.394981240086619
110,PLACE MARCEL CACHIN - 94200 IVRY SUR SEINE,48.81414053750237,2.3909093680671423
111,VIS-A-VIS DU 17 RUE DE LA GARE - 94200 IVRY SUR SEINE,48.81492646724632,2.3920016358249248
112,RUE NECKER/ RUE DU PORT AUX LIONS - 94220 CHARENTON,48.823963252286866,2.3999984201329916
113,136 RUE DE PARIS - 94220 CHARENTON,48.826657206324604,2.405876723011083
114,FACE AU 7 RUE PAUL ELUARD - 94220 CHARENTON,48.820403894008855,2.4084054721567454
115,178 RUE DE PARIS - 94220 CHARENTON,48.8294214716652,2.4016481055583503
116,FACE 59 RUE BENOIT MALON - 94250 GENTILLY,48.814440179623816,2.341070654172592
117,FACE 71 AVENUE LENINE - 94250 GENTILLY,48.813156677717764,2.332054794950423
118,73 RUE DU GENERAL LECLERC - 94270 LE KREMELIN BICETRE,48.81047749960048,2.358172896462481
119,RUE ROSSEL / AVENUE DE LA CONVENTION - 94270 LE KREMLIN BICETRE,48.812012814287044,2.3569718932874704
120,1 RUE DE LA CONVENTION - 94270 LE KREMLIN BICETRE,48.81280029637468,2.361041166442304
121,30 AVENUE DES MINIMES - 94300 VINCENNES,48.84148685630017,2.430793451133684
